chiave	tipo	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
reserved_link_prime	prime	Il link e' riservato alla famiglia dello studente/della studentessa e consente di:	Intro elenco prime.	The link is reserved for the student's family and allows you to:	Le lien est réservé à la famille de l'étudiant et permet de :	Der Link ist der Familie des Schülers vorbehalten und ermöglicht Ihnen:	El enlace está reservado para la familia del estudiante y le permite:	O link é reservado à família do aluno e permite:	Ссылка зарезервирована для семьи студента и позволяет:	Lidhja është e rezervuar për familjen e studentit dhe ju lejon të:	Link-ul este rezervat familiei studentului și vă permite să:	यह लिंक छात्र के परिवार के लिए आरक्षित है और आपको इसकी अनुमति देता है:	ਲਿੰਕ ਵਿਦਿਆਰਥੀ ਦੇ ਪਰਿਵਾਰ ਲਈ ਰਾਖਵਾਂ ਹੈ ਅਤੇ ਤੁਹਾਨੂੰ ਇਹ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਦਿੰਦਾ ਹੈ:	লিঙ্কটি ছাত্রের পরিবারের জন্য সংরক্ষিত এবং আপনাকে অনুমতি দেয়:	Веза је резервисана за породицу ученика и омогућава вам да:	Link je rezerviran za obitelj studenta i omogućuje vam da:	Bağlantı öğrencinin ailesine ayrılmıştır ve şunları yapmanıza olanak tanır:	پیوند برای خانواده دانش آموز محفوظ است و به شما امکان می دهد:	لینک د زده کونکي د کورنۍ لپاره ساتل شوی او تاسو ته اجازه درکوي:	Ang link ay nakalaan para sa pamilya ng mag-aaral at nagbibigay-daan sa iyong:	Link jest zarezerwowany dla rodziny studenta i umożliwia:	Посилання зарезервовано для сім’ї студента та дозволяє:	该链接专为学生家庭保留，允许您：	الرابط مخصص لعائلة الطالب ويتيح لك:	لنک طالب علم کے خاندان کے لیے محفوظ ہے اور آپ کو اجازت دیتا ہے:
reserved_link_terze	terze	Il link e' riservato alla famiglia dello studente/della studentessa e consente di:	Intro elenco terze.	The link is reserved for the student's family and allows you to:	Le lien est réservé à la famille de l'étudiant et permet de :	Der Link ist der Familie des Schülers vorbehalten und ermöglicht Ihnen:	El enlace está reservado para la familia del estudiante y le permite:	O link é reservado à família do aluno e permite:	Ссылка зарезервирована для семьи студента и позволяет:	Lidhja është e rezervuar për familjen e studentit dhe ju lejon të:	Link-ul este rezervat familiei studentului și vă permite să:	यह लिंक छात्र के परिवार के लिए आरक्षित है और आपको इसकी अनुमति देता है:	ਲਿੰਕ ਵਿਦਿਆਰਥੀ ਦੇ ਪਰਿਵਾਰ ਲਈ ਰਾਖਵਾਂ ਹੈ ਅਤੇ ਤੁਹਾਨੂੰ ਇਹ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਦਿੰਦਾ ਹੈ:	লিঙ্কটি ছাত্রের পরিবারের জন্য সংরক্ষিত এবং আপনাকে অনুমতি দেয়:	Веза је резервисана за породицу ученика и омогућава вам да:	Link je rezerviran za obitelj studenta i omogućuje vam da:	Bağlantı öğrencinin ailesine ayrılmıştır ve şunları yapmanıza olanak tanır:	پیوند برای خانواده دانش آموز محفوظ است و به شما امکان می دهد:	لینک د زده کونکي د کورنۍ لپاره ساتل شوی او تاسو ته اجازه درکوي:	Ang link ay nakalaan para sa pamilya ng mag-aaral at nagbibigay-daan sa iyong:	Link jest zarezerwowany dla rodziny studenta i umożliwia:	Посилання зарезервовано для сім’ї студента та дозволяє:	该链接专为学生家庭保留，允许您：	الرابط مخصص لعائلة الطالب ويتيح لك:	لنک طالب علم کے خاندان کے لیے محفوظ ہے اور آپ کو اجازت دیتا ہے:
prime_bullet_1	prime	confermare o aggiornare i dati anagrafici;	Bullet prime.	confirm or update your personal data;	confirmer ou mettre à jour vos données personnelles ;	Ihre persönlichen Daten bestätigen oder aktualisieren;	confirmar o actualizar sus datos personales;	confirmar ou atualizar os seus dados pessoais;	подтвердить или обновить ваши персональные данные;	konfirmoni ose përditësoni të dhënat tuaja personale;	confirmați sau actualizați datele dvs. personale;	अपने व्यक्तिगत डेटा की पुष्टि या अद्यतन करें;	ਤੁਹਾਡੇ ਨਿੱਜੀ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਜਾਂ ਅਪਡੇਟ ਕਰੋ;	আপনার ব্যক্তিগত তথ্য নিশ্চিত বা আপডেট করুন;	потврдите или ажурирате своје личне податке;	potvrdite ili ažurirajte svoje osobne podatke;	kişisel verilerinizi onaylamak veya güncellemek;	اطلاعات شخصی خود را تأیید یا به روز کنید؛	خپل شخصي معلومات تایید یا تازه کړئ؛	kumpirmahin o i-update ang iyong personal na data;	potwierdzić lub zaktualizować swoje dane osobowe;	підтвердити або оновити свої персональні дані;	确认或更新您的个人数据；	تأكيد أو تحديث بياناتك الشخصية؛	اپنے ذاتی ڈیٹا کی تصدیق یا اپ ڈیٹ؛
prime_bullet_2	prime	caricare i documenti richiesti;	Bullet prime.	upload the required documents;	télécharger les documents requis ;	Laden Sie die erforderlichen Dokumente hoch;	cargar los documentos requeridos;	carregue os documentos necessários;	загрузить необходимые документы;	ngarkoni dokumentet e kërkuara;	încărcați documentele necesare;	आवश्यक दस्तावेज़ अपलोड करें;	ਲੋੜੀਂਦੇ ਦਸਤਾਵੇਜ਼ ਅਪਲੋਡ ਕਰੋ;	প্রয়োজনীয় নথি আপলোড করুন;	отпремите потребне документе;	učitajte potrebne dokumente;	gerekli belgeleri yükleyin;	بارگذاری مدارک مورد نیاز؛	اړین اسناد پورته کړئ؛	i-upload ang mga kinakailangang dokumento;	prześlij wymagane dokumenty;	завантажити необхідні документи;	上传所需文件；	تحميل المستندات المطلوبة؛	مطلوبہ دستاویزات اپ لوڈ کریں؛
prime_bullet_3	prime	salvare una bozza e completare la pratica in un secondo momento;	Bullet prime.	save a draft and complete the practice later;	enregistrez un brouillon et terminez la pratique plus tard ;	einen Entwurf speichern und die Übung später abschließen;	guarde un borrador y complete la práctica más tarde;	salve um rascunho e conclua a prática mais tarde;	сохраните черновик и завершите практику позже;	ruani një draft dhe plotësoni praktikën më vonë;	salvați o schiță și finalizați practica mai târziu;	एक ड्राफ्ट सहेजें और बाद में अभ्यास पूरा करें;	ਇੱਕ ਡਰਾਫਟ ਸੁਰੱਖਿਅਤ ਕਰੋ ਅਤੇ ਬਾਅਦ ਵਿੱਚ ਅਭਿਆਸ ਨੂੰ ਪੂਰਾ ਕਰੋ;	একটি খসড়া সংরক্ষণ করুন এবং পরে অনুশীলনটি সম্পূর্ণ করুন;	сачувајте нацрт и довршите праксу касније;	spremite nacrt i dovršite vježbu kasnije;	bir taslağı kaydedin ve uygulamayı daha sonra tamamlayın;	یک پیش نویس را ذخیره کنید و بعداً تمرین را تکمیل کنید.	یوه مسوده خوندي کړئ او وروسته تمرین بشپړ کړئ؛	mag-save ng draft at kumpletuhin ang pagsasanay sa ibang pagkakataon;	zapisz wersję roboczą i dokończ ćwiczenie później;	збережіть чернетку та завершіть практику пізніше;	保存草稿并稍后完成练习；	احفظ مسودة وأكمل التدريب لاحقًا؛	ایک مسودہ محفوظ کریں اور بعد میں پریکٹس مکمل کریں۔
prime_bullet_4	prime	inviare definitivamente la conferma dei dati di iscrizione.	Bullet prime.	definitively send confirmation of your registration data.	envoyer définitivement la confirmation de vos données d’inscription.	senden Sie uns abschließend eine Bestätigung Ihrer Anmeldedaten zu.	enviarle definitivamente la confirmación de sus datos de registro.	enviar definitivamente a confirmação dos seus dados cadastrais.	окончательно выслать подтверждение ваших регистрационных данных.	dërgoni përfundimisht konfirmimin e të dhënave tuaja të regjistrimit.	trimite definitiv confirmarea datelor tale de înregistrare.	अपने पंजीकरण डेटा की पुष्टि निश्चित रूप से भेजें।	ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਤੁਹਾਡੇ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਭੇਜੋ।	নিশ্চিতভাবে আপনার নিবন্ধন তথ্য নিশ্চিতকরণ পাঠান.	дефинитивно пошаљите потврду ваших података о регистрацији.	definitivno poslati potvrdu podataka o registraciji.	Kayıt verilerinizin onayını kesin olarak gönderin.	قطعی تاییدیه اطلاعات ثبت نام خود را ارسال کنید.	په دقیق ډول ستاسو د راجسټریشن ډیټا تایید واستوئ.	tiyak na magpadala ng kumpirmasyon ng iyong data sa pagpaparehistro.	ostatecznie wyślij potwierdzenie swoich danych rejestracyjnych.	остаточно надіслати підтвердження ваших реєстраційних даних.	最终发送您的注册数据确认信息。	إرسال تأكيد نهائي لبيانات التسجيل الخاصة بك.	یقینی طور پر اپنے رجسٹریشن ڈیٹا کی تصدیق بھیجیں۔
terze_bullet_1	terze	confermare o aggiornare i dati anagrafici;	Bullet terze.	confirm or update your personal data;	confirmer ou mettre à jour vos données personnelles ;	Ihre persönlichen Daten bestätigen oder aktualisieren;	confirmar o actualizar sus datos personales;	confirmar ou atualizar os seus dados pessoais;	подтвердить или обновить ваши персональные данные;	konfirmoni ose përditësoni të dhënat tuaja personale;	confirmați sau actualizați datele dvs. personale;	अपने व्यक्तिगत डेटा की पुष्टि या अद्यतन करें;	ਤੁਹਾਡੇ ਨਿੱਜੀ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਜਾਂ ਅਪਡੇਟ ਕਰੋ;	আপনার ব্যক্তিগত তথ্য নিশ্চিত বা আপডেট করুন;	потврдите или ажурирате своје личне податке;	potvrdite ili ažurirajte svoje osobne podatke;	kişisel verilerinizi onaylamak veya güncellemek;	اطلاعات شخصی خود را تأیید یا به روز کنید؛	خپل شخصي معلومات تایید یا تازه کړئ؛	kumpirmahin o i-update ang iyong personal na data;	potwierdzić lub zaktualizować swoje dane osobowe;	підтвердити або оновити свої персональні дані;	确认或更新您的个人数据；	تأكيد أو تحديث بياناتك الشخصية؛	اپنے ذاتی ڈیٹا کی تصدیق یا اپ ڈیٹ؛
terze_bullet_2	terze	caricare i documenti richiesti;	Bullet terze.	upload the required documents;	télécharger les documents requis ;	Laden Sie die erforderlichen Dokumente hoch;	cargar los documentos requeridos;	carregue os documentos necessários;	загрузить необходимые документы;	ngarkoni dokumentet e kërkuara;	încărcați documentele necesare;	आवश्यक दस्तावेज़ अपलोड करें;	ਲੋੜੀਂਦੇ ਦਸਤਾਵੇਜ਼ ਅਪਲੋਡ ਕਰੋ;	প্রয়োজনীয় নথি আপলোড করুন;	отпремите потребне документе;	učitajte potrebne dokumente;	gerekli belgeleri yükleyin;	بارگذاری مدارک مورد نیاز؛	اړین اسناد پورته کړئ؛	i-upload ang mga kinakailangang dokumento;	prześlij wymagane dokumenty;	завантажити необхідні документи;	上传所需文件；	تحميل المستندات المطلوبة؛	مطلوبہ دستاویزات اپ لوڈ کریں؛
terze_bullet_3	terze	dichiarare l'avvenuta richiesta di nulla osta alla scuola di provenienza;	Bullet terze.	declare that the authorization request has been received from the school of origin;	déclarer que la demande d'autorisation a été reçue de l'école d'origine ;	erklären, dass der Genehmigungsantrag von der Herkunftsschule eingegangen ist;	declarar que se ha recibido la solicitud de autorización de la escuela de origen;	declarar que o pedido de autorização foi recebido da escola de origem;	заявить, что запрос на авторизацию был получен от исходной школы;	të deklarojë se kërkesa për autorizim është marrë nga shkolla e origjinës;	să declare că cererea de autorizare a fost primită de la școala de origine;	घोषणा करें कि प्राधिकरण अनुरोध मूल विद्यालय से प्राप्त हो गया है;	ਘੋਸ਼ਣਾ ਕਰੋ ਕਿ ਅਧਿਕਾਰ ਦੀ ਬੇਨਤੀ ਮੂਲ ਸਕੂਲ ਤੋਂ ਪ੍ਰਾਪਤ ਕੀਤੀ ਗਈ ਹੈ;	ঘোষণা করুন যে অনুমোদনের অনুরোধটি মূল বিদ্যালয় থেকে গৃহীত হয়েছে;	изјавити да је захтев за ауторизацију примљен од школе порекла;	izjaviti da je zahtjev za autorizaciju primljen od matične škole;	Yetki talebinin menşe okuldan alındığını beyan etmek;	اعلام کنید که درخواست مجوز از مدرسه مبدأ دریافت شده است.	اعلان وکړئ چې د اجازې غوښتنه د اصلي ښوونځي څخه ترلاسه شوې ده؛	ipahayag na ang kahilingan sa awtorisasyon ay natanggap mula sa pinanggalingang paaralan;	oświadczyć, że otrzymano wniosek o zezwolenie ze szkoły pochodzenia;	заявляти, що запит на авторизацію отримано від школи походження;	声明已收到原籍学校的授权请求；	الإعلان عن استلام طلب الترخيص من المدرسة الأصلية؛	اعلان کریں کہ اجازت کی درخواست اصل اسکول سے موصول ہوئی ہے؛
terze_bullet_4	terze	indicare eventuali carenze formative;	Bullet terze.	indicate any training gaps;	indiquer les éventuelles lacunes en matière de formation ;	auf etwaige Ausbildungslücken hinweisen;	indicar cualquier laguna de formación;	indicar eventuais lacunas de formação;	указать на любые пробелы в обучении;	tregoni ndonjë boshllëk trajnimi;	indicați eventualele lacune de pregătire;	किसी भी प्रशिक्षण अंतराल को इंगित करें;	ਕਿਸੇ ਵੀ ਸਿਖਲਾਈ ਦੇ ਅੰਤਰ ਨੂੰ ਦਰਸਾਓ;	কোন প্রশিক্ষণ ফাঁক নির্দেশ করুন;	указати на све недостатке у обуци;	navesti sve nedostatke u obuci;	herhangi bir eğitim açığını belirtin;	هر گونه شکاف آموزشی را نشان دهید.	د روزنې کومې نیمګړتیاوې په ګوته کړئ؛	ipahiwatig ang anumang mga puwang sa pagsasanay;	wskazać ewentualne luki szkoleniowe;	вказати будь-які прогалини в навчанні;	指出任何培训差距；	الإشارة إلى أي فجوات في التدريب؛	کسی بھی تربیتی خلا کی نشاندہی کریں؛
terze_bullet_5	terze	salvare una bozza e completare la pratica in un secondo momento;	Bullet terze.	save a draft and complete the practice later;	enregistrez un brouillon et terminez la pratique plus tard ;	einen Entwurf speichern und die Übung später abschließen;	guarde un borrador y complete la práctica más tarde;	salve um rascunho e conclua a prática mais tarde;	сохраните черновик и завершите практику позже;	ruani një draft dhe plotësoni praktikën më vonë;	salvați o schiță și finalizați practica mai târziu;	एक ड्राफ्ट सहेजें और बाद में अभ्यास पूरा करें;	ਇੱਕ ਡਰਾਫਟ ਸੁਰੱਖਿਅਤ ਕਰੋ ਅਤੇ ਬਾਅਦ ਵਿੱਚ ਅਭਿਆਸ ਨੂੰ ਪੂਰਾ ਕਰੋ;	একটি খসড়া সংরক্ষণ করুন এবং পরে অনুশীলনটি সম্পূর্ণ করুন;	сачувајте нацрт и довршите праксу касније;	spremite nacrt i dovršite vježbu kasnije;	bir taslağı kaydedin ve uygulamayı daha sonra tamamlayın;	یک پیش نویس را ذخیره کنید و بعداً تمرین را تکمیل کنید.	یوه مسوده خوندي کړئ او وروسته تمرین بشپړ کړئ؛	mag-save ng draft at kumpletuhin ang pagsasanay sa ibang pagkakataon;	zapisz wersję roboczą i dokończ ćwiczenie później;	збережіть чернетку та завершіть практику пізніше;	保存草稿并稍后完成练习；	احفظ مسودة وأكمل التدريب لاحقًا؛	ایک مسودہ محفوظ کریں اور بعد میں پریکٹس مکمل کریں۔
terze_bullet_6	terze	inviare definitivamente la conferma dei dati di iscrizione.	Bullet terze.	definitively send confirmation of your registration data.	envoyer définitivement la confirmation de vos données d’inscription.	senden Sie uns abschließend eine Bestätigung Ihrer Anmeldedaten zu.	enviarle definitivamente la confirmación de sus datos de registro.	enviar definitivamente a confirmação dos seus dados cadastrais.	окончательно выслать подтверждение ваших регистрационных данных.	dërgoni përfundimisht konfirmimin e të dhënave tuaja të regjistrimit.	trimite definitiv confirmarea datelor tale de înregistrare.	अपने पंजीकरण डेटा की पुष्टि निश्चित रूप से भेजें।	ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਤੁਹਾਡੇ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਭੇਜੋ।	নিশ্চিতভাবে আপনার নিবন্ধন তথ্য নিশ্চিতকরণ পাঠান.	дефинитивно пошаљите потврду ваших података о регистрацији.	definitivno poslati potvrdu podataka o registraciji.	Kayıt verilerinizin onayını kesin olarak gönderin.	قطعی تاییدیه اطلاعات ثبت نام خود را ارسال کنید.	په دقیق ډول ستاسو د راجسټریشن ډیټا تایید واستوئ.	tiyak na magpadala ng kumpirmasyon ng iyong data sa pagpaparehistro.	ostatecznie wyślij potwierdzenie swoich danych rejestracyjnych.	остаточно надіслати підтвердження ваших реєстраційних даних.	最终发送您的注册数据确认信息。	إرسال تأكيد نهائي لبيانات التسجيل الخاصة بك.	یقینی طور پر اپنے رجسٹریشن ڈیٹا کی تصدیق بھیجیں۔
deadline	common	La procedura deve essere completata entro lunedi' 6 luglio 2026.	Scadenza.	The procedure must be completed by Monday 6 July 2026.	La procédure doit être achevée au plus tard le lundi 6 juillet 2026.	Das Verfahren muss bis Montag, 6. Juli 2026, abgeschlossen sein.	El trámite deberá finalizar antes del lunes 6 de julio de 2026.	O procedimento deve ser concluído até segunda-feira, 6 de julho de 2026.	Процедура должна быть завершена до понедельника, 6 июля 2026 года.	Procedura duhet të përfundojë deri të hënën më 6 korrik 2026.	Procedura trebuie finalizată până luni, 6 iulie 2026.	प्रक्रिया सोमवार 6 जुलाई 2026 तक पूरी होनी चाहिए।	ਪ੍ਰਕਿਰਿਆ ਸੋਮਵਾਰ 6 ਜੁਲਾਈ 2026 ਤੱਕ ਪੂਰੀ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ।	প্রক্রিয়াটি অবশ্যই 6 জুলাই 2026 সোমবারের মধ্যে সম্পন্ন করতে হবে।	Процедура мора бити завршена до понедељка, 6. јула 2026.	Postupak se mora završiti do ponedjeljka 6. srpnja 2026.	Prosedürün 6 Temmuz 2026 Pazartesi gününe kadar tamamlanması gerekmektedir.	این روش باید تا دوشنبه 6 جولای 2026 تکمیل شود.	پروسه باید د دوشنبې په ورځ د جولای 6 2026 پورې بشپړه شي.	Ang pamamaraan ay dapat makumpleto sa Lunes 6 Hulyo 2026.	Procedura musi zostać zakończona do poniedziałku 6 lipca 2026 r.	Процедуру необхідно завершити до понеділка, 6 липня 2026 року.	该程序必须在 2026 年 7 月 6 日星期一之前完成。	يجب إكمال الإجراء بحلول يوم الاثنين 6 يوليو 2026.	یہ طریقہ کار پیر 6 جولائی 2026 تک مکمل ہونا چاہیے۔
attachment_prime	prime	In allegato si trasmette l'avviso con l'elenco della documentazione richiesta.	Riferimento allegato prime.	Attached is the notice with the list of requested documentation.	Ci-joint l'avis avec la liste des documents demandés.	Im Anhang finden Sie die Bekanntmachung mit der Liste der angeforderten Unterlagen.	Adjunto el aviso con el listado de la documentación solicitada.	Em anexo segue o edital com a relação da documentação solicitada.	Прилагаем уведомление с перечнем запрашиваемой документации.	Bashkëlidhur është njoftimi me listën e dokumentacionit të kërkuar.	Se atașează avizul cu lista documentației solicitate.	अनुरोधित दस्तावेज़ों की सूची के साथ नोटिस संलग्न है।	ਬੇਨਤੀ ਕੀਤੇ ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਸੂਚੀ ਦੇ ਨਾਲ ਨੋਟਿਸ ਨੱਥੀ ਹੈ।	অনুরোধ করা ডকুমেন্টেশনের তালিকা সহ বিজ্ঞপ্তিটি সংযুক্ত করা হয়েছে।	У прилогу је обавештење са списком тражене документације.	U privitku se nalazi obavijest s popisom tražene dokumentacije.	Talep edilen belgelerin listesini içeren duyuru ekte yer almaktadır.	ضمیمه اعلامیه با لیست اسناد درخواستی است.	د غوښتل شوي اسنادو لیست سره خبرتیا ضمیمه ده.	Nakalakip ang paunawa na may listahan ng hiniling na dokumentasyon.	W załączeniu zawiadomienie wraz z wykazem wymaganych dokumentów.	Повідомлення з переліком необхідної документації додається.	随附通知以及所需文件清单。	مرفق الإشعار مع قائمة الوثائق المطلوبة.	درخواست کردہ دستاویزات کی فہرست کے ساتھ نوٹس منسلک ہے۔
attachment_terze	terze	In allegato si trasmette l'avviso con l'elenco della documentazione richiesta e delle informazioni da comunicare.	Riferimento allegato terze.	Attached is the notice with the list of the requested documentation and the information to be communicated.	Ci-joint l'avis avec la liste des documents demandés et les informations à communiquer.	Beigefügt ist die Bekanntmachung mit der Auflistung der angeforderten Unterlagen und den mitzuteilenden Informationen.	Se adjunta el aviso con el listado de la documentación solicitada y la información a comunicar.	Em anexo encontra-se o aviso com a relação da documentação solicitada e as informações a comunicar.	Прилагается уведомление с перечнем запрашиваемой документации и информацией, подлежащей сообщению.	Bashkëngjitur është njoftimi me listën e dokumentacionit të kërkuar dhe informacionin që duhet komunikuar.	Se atașează avizul cu lista documentației solicitate și informațiile de comunicat.	अनुरोधित दस्तावेज़ों की सूची और संप्रेषित की जाने वाली जानकारी के साथ नोटिस संलग्न है।	ਬੇਨਤੀ ਕੀਤੇ ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਸੂਚੀ ਅਤੇ ਸੰਚਾਰਿਤ ਕੀਤੀ ਜਾਣ ਵਾਲੀ ਜਾਣਕਾਰੀ ਦੇ ਨਾਲ ਨੋਟਿਸ ਨੱਥੀ ਕੀਤਾ ਗਿਆ ਹੈ।	অনুরোধ করা ডকুমেন্টেশন এবং যোগাযোগ করা তথ্যের তালিকা সহ বিজ্ঞপ্তি সংযুক্ত করা হয়েছে।	У прилогу је обавештење са списком тражене документације и информацијама које треба саопштити.	U privitku se nalazi obavijest s popisom tražene dokumentacije i podacima koji se dostavljaju.	İstenilen belgelerin listesini ve iletilecek bilgileri içeren duyuru ekte yer almaktadır.	ضمیمه اخطاریه با لیست اسناد درخواستی و اطلاعاتی است که باید ابلاغ شود.	د غوښتل شوي اسنادو لیست او د خبرتیا لپاره خبرتیا سره ضمیمه ده.	Nakalakip ang paunawa na may listahan ng hinihiling na dokumentasyon at ang impormasyong ipapaabot.	W załączeniu zawiadomienie zawierające listę wymaganych dokumentów i informacje, które należy przekazać.	Повідомлення з переліком необхідної документації та інформацією, яку необхідно надати, додається.	随附的通知包含所需文件和要传达的信息的列表。	مرفق الإشعار مع قائمة الوثائق المطلوبة والمعلومات التي سيتم إرسالها.	درخواست کی گئی دستاویزات کی فہرست کے ساتھ نوٹس منسلک ہے اور معلومات فراہم کی جانی ہیں۔
paper_delivery	common	Nel caso in cui non sia possibile caricare online uno o piu' documenti, nella procedura sara' possibile indicare che la documentazione verra' consegnata in copia cartacea alla Segreteria didattica.	Consegna cartacea.	In the event that it is not possible to upload one or more documents online, in the procedure it will be possible to indicate that the documentation will be delivered in paper copy to the Teaching Secretariat.	Dans le cas où il n'est pas possible de télécharger un ou plusieurs documents en ligne, il sera possible dans la procédure d'indiquer que la documentation sera remise en copie papier au Secrétariat pédagogique.	Für den Fall, dass es nicht möglich ist, ein oder mehrere Dokumente online hochzuladen, kann im Verfahren angegeben werden, dass die Dokumentation in Papierform an das Lehrsekretariat übermittelt wird.	En el caso de que no sea posible subir uno o más documentos en línea, en el procedimiento se podrá indicar que la documentación se entregará en copia impresa en la Secretaría de Docencia.	Caso não seja possível fazer o upload de um ou mais documentos online, no procedimento será possível indicar que a documentação será entregue em cópia impressa à Secretaria de Ensino.	В случае невозможности загрузить один или несколько документов онлайн, в процедуре можно будет указать, что документация будет доставлена ​​в бумажном виде в Учебный секретариат.	Në rast se nuk është e mundur të ngarkoni një ose më shumë dokumente online, në procedurë do të mund të tregohet se dokumentacioni do të dorëzohet në letër në Sekretarinë Mësimore.	În cazul în care nu este posibilă încărcarea online a unuia sau mai multor documente, în cadrul procedurii se va putea indica faptul că documentația va fi predată în copie hârtie la Secretariatul Didactic.	इस घटना में कि एक या अधिक दस्तावेज़ों को ऑनलाइन अपलोड करना संभव नहीं है, प्रक्रिया में यह इंगित करना संभव होगा कि दस्तावेज़ीकरण शिक्षण सचिवालय को पेपर कॉपी में वितरित किया जाएगा।	ਅਜਿਹੀ ਸਥਿਤੀ ਵਿੱਚ ਜਦੋਂ ਇੱਕ ਜਾਂ ਇੱਕ ਤੋਂ ਵੱਧ ਦਸਤਾਵੇਜ਼ਾਂ ਨੂੰ ਔਨਲਾਈਨ ਅਪਲੋਡ ਕਰਨਾ ਸੰਭਵ ਨਹੀਂ ਹੈ, ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਇਹ ਸੰਕੇਤ ਦੇਣਾ ਸੰਭਵ ਹੋਵੇਗਾ ਕਿ ਦਸਤਾਵੇਜ਼ ਕਾਗਜ਼ੀ ਕਾਪੀ ਵਿੱਚ ਟੀਚਿੰਗ ਸਕੱਤਰੇਤ ਨੂੰ ਸੌਂਪੇ ਜਾਣਗੇ।	এক বা একাধিক নথি অনলাইনে আপলোড করা সম্ভব না হলে, পদ্ধতিতে এটি নির্দেশ করা সম্ভব হবে যে ডকুমেন্টেশনগুলি কাগজের অনুলিপিতে শিক্ষণ সচিবালয়ে বিতরণ করা হবে।	У случају да није могуће учитати један или више докумената онлајн, у процедури ће бити могуће назначити да ће документација бити достављена у папирној копији Секретаријату за наставу.	U slučaju da jedan ili više dokumenata nije moguće postaviti na internet, u postupku će biti moguće naznačiti da će se dokumentacija u papirnatom obliku dostaviti Tajništvu za nastavu.	Bir veya daha fazla belgenin çevrimiçi olarak yüklenmesinin mümkün olmaması durumunda, prosedürde belgelerin basılı kopya olarak Öğretim Sekreterliğine teslim edileceğinin belirtilmesi mümkün olacaktır.	در صورتی که امکان آپلود یک یا چند سند به صورت آنلاین وجود نداشته باشد، در این روش می توان اعلام کرد که اسناد به صورت کاغذی به دبیرخانه آموزش تحویل داده می شود.	په هغه صورت کې چې د یو یا ډیرو اسنادو آنلاین اپلوډ کول ممکن نه وي، په طرزالعمل کې به دا ممکنه وي چې دا اسناد د کاغذ کاپي کې د تدریس سکرتریت ته وسپارل شي.	Kung sakaling hindi posibleng mag-upload ng isa o higit pang mga dokumento online, sa pamamaraan ay posibleng ipahiwatig na ang dokumentasyon ay ihahatid sa papel na kopya sa Teaching Secretariat.	W przypadku braku możliwości przesłania jednego lub większej liczby dokumentów on-line, w procedurze możliwe będzie wskazanie, że dokumentacja zostanie dostarczona w formie papierowej do Sekretariatu Dydaktycznego.	У випадку, якщо неможливо завантажити один або кілька документів онлайн, у процедурі можна буде вказати, що документація буде доставлена ​​в паперовому вигляді до Секретаріату навчання.	如果无法在线上传一份或多份文件，则可以在程序中注明文件将以纸质副本交付给教学秘书处。	في حالة عدم إمكانية تحميل مستند واحد أو أكثر عبر الإنترنت، سيكون من الممكن في الإجراء الإشارة إلى أنه سيتم تسليم الوثائق في نسخة ورقية إلى أمانة التدريس.	اس صورت میں کہ ایک یا زیادہ دستاویزات آن لائن اپ لوڈ کرنا ممکن نہ ہو، طریقہ کار میں یہ اشارہ کرنا ممکن ہو گا کہ دستاویزات کاغذی کاپی میں ٹیچنگ سیکرٹریٹ کو پہنچائی جائیں گی۔
