chiave	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
confirm_data	Dati da confermare	Titolo sezione dati da controllare.	Data to be confirmed	Données à confirmer	Daten müssen noch bestätigt werden	Datos por confirmar	Dados a serem confirmados	Данные подлежат подтверждению.	Të dhënat që do të konfirmohen	Date care urmează să fie confirmate	डेटा की पुष्टि की जानी बाकी है	ਪੁਸ਼ਟੀ ਕੀਤੀ ਜਾਣ ਵਾਲੀ ਜਾਣਕਾਰੀ	তথ্য নিশ্চিত করা হবে	Подаци који треба да буду потврђени	Podaci koje treba potvrditi	Veriler teyit edilecek.	داده‌هایی که باید تأیید شوند	هغه معلومات چې باید تایید شي	Kukumpirmahin ang datos	Dane do potwierdzenia	Дані потребують підтвердження	数据待确认	البيانات قيد التأكيد	ڈیٹا کی تصدیق کی جائے۔
documents	Documenti	Titolo sezione documenti.	Documents	Documents	Unterlagen	Documentos	Documentos	Документы	Dokumente	Documente	दस्तावेज़	ਦਸਤਾਵੇਜ਼	নথি	Документи	Dokumenti	Belgeler	اسناد	اسناد	Mga Dokumento	Dokumenty	Документи	文件	وثائق	دستاویزات
surname	Cognome	Etichetta campo.	Surname	Nom de famille	Nachname	Apellido	Sobrenome	Фамилия	Mbiemri	Nume de familie	उपनाम	ਉਪਨਾਮ	পদবি	Презиме	Prezime	Soyadı	نام خانوادگی	نوم	Apelyido	Nazwisko	Прізвище	姓	اسم العائلة	کنیت
name	Nome	Etichetta campo.	Name	Nom	Name	Nombre	Nome	Имя	Emri	Nume	नाम	ਨਾਮ	নাম	Име	Ime	İsim	نام	نوم	Pangalan	Nazwa	Ім'я	姓名	اسم	نام
tax_code	Codice fiscale	Etichetta campo, codice fiscale italiano.	Tax ID code	Code d'identification fiscale	Steueridentifikationsnummer	Código de identificación fiscal	Código de identificação fiscal	Идентификационный номер налогоплательщика	Kodi i identifikimit tatimor	Cod de identificare fiscală	टैक्स आईडी कोड	ਟੈਕਸ ਆਈਡੀ ਕੋਡ	ট্যাক্স আইডি কোড	Порески идентификациони код	Porezni identifikacijski kod	Vergi Kimlik Kodu	کد شناسایی مالیاتی	د مالیې د پېژندپاڼې کوډ	Kodigo ng ID ng Buwis	Kod identyfikacji podatkowej	Ідентифікаційний код платника податків	税务识别号	رمز التعريف الضريبي	ٹیکس شناختی کوڈ
birth_date	Data di nascita	Etichetta campo.	Date of birth	Date de naissance	Geburtsdatum	Fecha de nacimiento	Data de nascimento	Дата рождения	Data e lindjes	Data nașterii	जन्म तिथि	ਜਨਮ ਤਾਰੀਖ	জন্ম তারিখ	Датум рођења	Datum rođenja	Doğum tarihi	تاریخ تولد	د زیږون نیټه	Petsa ng kapanganakan	Data urodzenia	Дата народження	出生日期	تاريخ الميلاد	تاریخ پیدائش
course	Indirizzo di studi	Etichetta campo, corso scelto alla scuola superiore.	Address of studies	Adresse des études	Adresse der Studien	Dirección de los estudios	Endereço dos estudos	Адрес обучения	Adresa e studimeve	Adresa studiilor	अध्ययन का पता	ਪੜ੍ਹਾਈ ਦਾ ਪਤਾ	অধ্যয়নের ঠিকানা	Адреса студија	Adresa studija	Çalışmaların adresi	آدرس مطالعات	د مطالعاتو پته	Address ng mga pag-aaral	Adres studiów	Адреса навчання	研究方向	عنوان الدراسة	مطالعہ کا پتہ
practice_status	Stato della pratica	Etichetta campo.	Status of the practice	État de la pratique	Status der Praxis	Estado de la práctica	Situação atual da prática	Состояние практики	Statusi i praktikës	Statutul practicii	अभ्यास की स्थिति	ਅਭਿਆਸ ਦੀ ਸਥਿਤੀ	অনুশীলনের অবস্থা	Статус праксе	Status prakse	Uygulamanın durumu	وضعیت تمرین	د عمل حالت	Katayuan ng pagsasanay	Status praktyki	Статус практики	该实践的现状	حالة الممارسة	مشق کی حیثیت
student_email	Email personale dello studente	Etichetta campo.	Student's personal email	Courriel personnel de l'étudiant	Persönliche E-Mail-Adresse des Studenten	Correo electrónico personal del estudiante	E-mail pessoal do aluno	Личная электронная почта студента	Email-i personal i studentit	Adresa de e-mail personală a studentului	छात्र का व्यक्तिगत ईमेल	ਵਿਦਿਆਰਥੀ ਦਾ ਨਿੱਜੀ ਈਮੇਲ	শিক্ষার্থীর ব্যক্তিগত ইমেইল	Лични имејл студента	Osobna e-pošta studenta	Öğrencinin kişisel e-postası	ایمیل شخصی دانشجو	د زده کونکي شخصي برېښنالیک	Personal na email ng estudyante	Prywatny adres e-mail ucznia	Особиста електронна адреса студента	学生的个人邮箱	البريد الإلكتروني الشخصي للطالب	طالب علم کا ذاتی ای میل
student_email_hint	Indicare solo una email personale dello studente. Non usare la mail della scuola media; se non disponibile lasciare vuoto.	Aiuto campo email studente.	Please provide only a personal student email address. Do not use the middle school email address; if not available, leave blank.	Veuillez indiquer uniquement une adresse courriel personnelle d'élève. N'utilisez pas l'adresse courriel du collège ; si vous ne la connaissez pas, laissez le champ vide.	Bitte geben Sie ausschließlich Ihre private Schüler-E-Mail-Adresse an. Verwenden Sie nicht die E-Mail-Adresse Ihrer Mittelschule; falls diese nicht verfügbar ist, lassen Sie das Feld leer.	Por favor, proporcione únicamente una dirección de correo electrónico personal de estudiante. No utilice la dirección de correo electrónico de la escuela secundaria; si no está disponible, deje el espacio en blanco.	Por favor, forneça apenas um endereço de e-mail pessoal de estudante. Não utilize o endereço de e-mail da escola; caso não o tenha, deixe em branco.	Пожалуйста, укажите только личный адрес электронной почты ученика. Не используйте адрес электронной почты средней школы; если он недоступен, оставьте поле пустым.	Ju lutemi të jepni vetëm një adresë email-i personale të studentit. Mos përdorni adresën e email-it të shkollës së mesme; nëse nuk është e disponueshme, lëreni bosh.	Vă rugăm să furnizați doar adresa de e-mail personală a elevului. Nu utilizați adresa de e-mail a școlii gimnaziale; dacă nu este disponibilă, lăsați câmpul necompletat.	कृपया केवल व्यक्तिगत छात्र ईमेल पता प्रदान करें। मिडिल स्कूल का ईमेल पता उपयोग न करें; यदि उपलब्ध न हो, तो इसे खाली छोड़ दें।	ਕਿਰਪਾ ਕਰਕੇ ਸਿਰਫ਼ ਇੱਕ ਨਿੱਜੀ ਵਿਦਿਆਰਥੀ ਈਮੇਲ ਪਤਾ ਪ੍ਰਦਾਨ ਕਰੋ। ਮਿਡਲ ਸਕੂਲ ਈਮੇਲ ਪਤਾ ਨਾ ਵਰਤੋ; ਜੇਕਰ ਉਪਲਬਧ ਨਹੀਂ ਹੈ, ਤਾਂ ਖਾਲੀ ਛੱਡ ਦਿਓ।	অনুগ্রহ করে শুধুমাত্র আপনার ব্যক্তিগত শিক্ষার্থীর ইমেল ঠিকানা দিন। মিডল স্কুলের ইমেল ঠিকানা ব্যবহার করবেন না; সেটি উপলব্ধ না থাকলে, খালি রাখুন।	Молимо вас да наведете само личну имејл адресу ученика. Не користите имејл адресу основне школе; ако није доступна, оставите празно.	Molimo navedite samo osobnu adresu e-pošte učenika. Nemojte koristiti adresu e-pošte srednje škole; ako nije dostupna, ostavite prazno.	Lütfen yalnızca kişisel öğrenci e-posta adresinizi girin. Ortaokul e-posta adresinizi kullanmayın; mevcut değilse boş bırakın.	لطفاً فقط آدرس ایمیل شخصی دانش‌آموز را وارد کنید. از آدرس ایمیل مدرسه راهنمایی استفاده نکنید؛ اگر در دسترس نیست، خالی بگذارید.	مهرباني وکړئ یوازې د زده کونکي شخصي بریښنالیک پته ورکړئ. د منځني ښوونځي بریښنالیک پته مه کاروئ؛ که شتون ونلري، خالي پریږدئ.	Mangyaring magbigay lamang ng personal na email address ng estudyante. Huwag gamitin ang email address ng middle school; kung hindi available, iwanang blangko.	Proszę podać tylko prywatny adres e-mail ucznia. Nie należy używać adresu e-mail szkoły średniej; jeśli nie jest dostępny, należy pozostawić puste pole.	Будь ласка, вкажіть лише особисту адресу електронної пошти учня. Не використовуйте адресу електронної пошти середньої школи; якщо вона недоступна, залиште поле порожнім.	请仅提供学生个人邮箱地址。请勿使用中学邮箱地址；如无中学邮箱地址，请留空。	يرجى تقديم عنوان بريد إلكتروني شخصي خاص بالطالب فقط. لا تستخدم عنوان البريد الإلكتروني الخاص بالمدرسة الإعدادية؛ إذا لم يكن متاحًا، اتركه فارغًا.	براہ کرم صرف طالب علم کا ذاتی ای میل پتہ فراہم کریں۔ مڈل اسکول کا ای میل پتہ استعمال نہ کریں؛ اگر دستیاب نہ ہو تو خالی چھوڑ دیں۔
student_phone	Telefono dello studente	Etichetta campo.	Student's phone number	Numéro de téléphone de l'étudiant	Telefonnummer des Studenten	Número de teléfono del estudiante	Número de telefone do aluno	Номер телефона студента	Numri i telefonit të studentit	Numărul de telefon al studentului	छात्र का फ़ोन नंबर	ਵਿਦਿਆਰਥੀ ਦਾ ਫ਼ੋਨ ਨੰਬਰ	ছাত্রের ফোন নম্বর	Број телефона студента	Broj telefona studenta	Öğrencinin telefon numarası	شماره تلفن دانشجو	د زده کونکي د تلیفون شمیره	Numero ng telepono ng estudyante	Numer telefonu ucznia	Номер телефону студента	学生的电话号码	رقم هاتف الطالب	طالب علم کا فون نمبر
responsible_1	Genitore o tutore numero 1.	Genitore o tutore numero 1.	Parent or guardian number 1.	Parent ou tuteur numéro 1.	Elternteil oder Erziehungsberechtigter Nummer 1.	Padre o tutor número 1.	Pai ou responsável número 1.	Родитель или опекун номер 1.	Prindi ose kujdestari numër 1.	Părintele sau tutorele numărul 1.	अभिभावक या संरक्षक संख्या 1.	ਮਾਪੇ ਜਾਂ ਸਰਪ੍ਰਸਤ ਨੰਬਰ 1।	পিতা-মাতা বা অভিভাবক নম্বর ১।	Родитељ или старатељ број 1.	Roditelj ili skrbnik broj 1.	Ebeveyn veya vasi numarası 1.	والد یا قیم شماره ۱.	د مور او پلار یا سرپرست شمېره ۱.	Magulang o tagapag-alaga numero 1.	Rodzic lub opiekun nr 1.	Батько або опікун номер 1.	家长或监护人编号 1。	الوالد أو الوصي رقم 1.	والدین یا سرپرست نمبر 1۔
responsible_2	Genitore o tutore numero 2.	Genitore o tutore numero 2.	Parent or guardian number 2.	Parent ou tuteur numéro 2.	Elternteil oder Erziehungsberechtigter Nummer 2.	Padre o tutor número 2.	Pai ou responsável número 2.	Родитель или опекун номер 2.	Numri i prindit ose kujdestarit 2.	Părintele sau tutorele numărul 2.	अभिभावक या संरक्षक संख्या 2.	ਮਾਪੇ ਜਾਂ ਸਰਪ੍ਰਸਤ ਨੰਬਰ 2।	পিতা-মাতা বা অভিভাবক নম্বর ২।	Родитељ или старатељ број 2.	Roditelj ili skrbnik broj 2.	İkinci ebeveyn veya vasi.	والد یا قیم شماره ۲.	د مور او پلار یا سرپرست شمېره ۲.	Magulang o tagapag-alaga numero 2.	Rodzic lub opiekun nr 2.	Батько або опікун номер 2.	家长或监护人编号 2。	الوالد أو الوصي رقم 2.	والدین یا سرپرست نمبر 2۔
resp_email	Email del genitore {n}	Usare {n} come numero 1 o 2. Non tradurre come frase con verbo "è".	Parent's email {n}	Courriel du parent {n}	E-Mail-Adresse des Elternteils {n}	Correo electrónico del padre/madre {n}	E-mail dos pais {n}	Электронная почта родителя {n}	Email-i i prindit {n}	Adresa de e-mail a părintelui {n}	अभिभावक का ईमेल {n}	ਮਾਤਾ-ਪਿਤਾ ਦਾ ਈਮੇਲ {n}	অভিভাবকের ইমেইল {n}	Имејл адреса родитеља {n}	E-pošta roditelja {n}	Ebeveynin e-postası {n}	ایمیل والدین {n}	د مور او پلار برېښنالیک {n}	Email ng magulang {n}	Adres e-mail rodzica {n}	Електронна адреса батьків {n}	家长邮箱 {n}	البريد الإلكتروني للوالدين {n}	والدین کا ای میل {n}
resp_phone	Telefono del genitore {n}	Usare {n} come numero 1 o 2. Non tradurre come frase con verbo "è".	Parent's phone number {n}	Numéro de téléphone du parent {n}	Telefonnummer der Eltern {n}	Número de teléfono del padre/madre {n}	Número de telefone dos pais {n}	Номер телефона родителя {n}	Numri i telefonit të prindit {n}	Numărul de telefon al părintelui {n}	अभिभावक का फ़ोन नंबर {n}	ਮਾਤਾ-ਪਿਤਾ ਦਾ ਫ਼ੋਨ ਨੰਬਰ {n}	অভিভাবকের ফোন নম্বর {n}	Број телефона родитеља {n}	Broj telefona roditelja {n}	Ebeveynin telefon numarası {n}	شماره تلفن والدین {n}	د مور او پلار د تلیفون شمیره {n}	Numero ng telepono ng magulang {n}	Numer telefonu rodzica {n}	Номер телефону батьків {n}	父母的电话号码 {n}	رقم هاتف الوالدين {n}	والدین کا فون نمبر {n}
role_father	Padre	Ruolo del responsabile.	Father	Père	Vater	Padre	Pai	Отец	Babai	Tată	पिता	ਪਿਤਾ	বাবা	Отац	Otac	Baba	پدر	پلار	Ama	Ojciec	Батько	父亲	أب	باپ
